iter	Logloss
0	0.6477181843
1	0.6157644099
2	0.5908754586
3	0.567640541
4	0.5421171195
5	0.5274083339
6	0.5170277706
7	0.5041541808
8	0.4940498985
9	0.4861581271
10	0.4813226514
11	0.4781991813
12	0.472948845
13	0.4674631282
14	0.4619835972
15	0.4595217339
16	0.4529338765
17	0.4497240262
18	0.4456935284
19	0.4421782828
20	0.4388502869
21	0.4345285064
22	0.4324263257
23	0.4305384755
24	0.4292863119
25	0.4275601047
26	0.4264255263
27	0.425389138
28	0.4230797166
29	0.4213866879
30	0.4186498631
31	0.4170349514
32	0.415723321
33	0.4148677151
34	0.4141737736
35	0.4133271929
36	0.4122795678
37	0.4101449615
38	0.4095272835
39	0.4090000434
40	0.4085842732
41	0.4075767724
42	0.4069424152
43	0.4066210973
44	0.4058468512
45	0.4056424382
46	0.4054557417
47	0.4052618956
48	0.40424107
49	0.4030432375
50	0.4026697914
51	0.401905839
52	0.4017004732
53	0.4011569826
54	0.4007893305
55	0.3996170995
56	0.3995400246
57	0.3994547825
58	0.3992620308
59	0.3990336162
60	0.3987607774
61	0.3982653605
62	0.3976168097
63	0.397350261
64	0.397223662
65	0.3970509542
66	0.3966658517
67	0.3956521853
68	0.394580357
69	0.394034369
70	0.3935738905
71	0.3932868659
72	0.3930372627
73	0.3927180811
74	0.3926290298
75	0.3922863601
76	0.392037406
77	0.3918630473
78	0.3911166258
79	0.3905381461
80	0.3899186727
81	0.3896149744
82	0.389150935
83	0.3889177984
84	0.3888032229
85	0.3884246098
86	0.3881223562
87	0.3876536659
88	0.387297985
89	0.3870127634
90	0.3867318406
91	0.3864540928
92	0.3862614507
93	0.3859188042
94	0.3857322226
95	0.385560277
96	0.3852949531
97	0.3851309437
98	0.3849074733
99	0.3846583167
100	0.3844756305
101	0.3842669035
102	0.3841125394
103	0.3839231976
104	0.3836984971
105	0.3832856537
106	0.3830785636
107	0.3824506654
108	0.382177044
109	0.3819328514
110	0.3817917655
111	0.3815987273
112	0.3812436827
113	0.3809656893
114	0.3807435705
115	0.3805360763
116	0.3802559021
117	0.3800541197
118	0.3797914407
119	0.3795779683
120	0.379429421
121	0.3791108851
122	0.3789325415
123	0.3787933808
124	0.3785791398
125	0.378440714
126	0.3782437586
127	0.3779225297
128	0.3777290407
129	0.3773657198
130	0.3769037011
131	0.3767670338
132	0.3755981607
133	0.3752491006
134	0.3751089867
135	0.3747430079
136	0.3746134771
137	0.3742398015
138	0.3740474364
139	0.3739283254
140	0.3736659898
141	0.3733567187
142	0.3730707449
143	0.3729106703
144	0.3727054644
145	0.3725150175
146	0.3723917297
147	0.3721238986
148	0.3717718394
149	0.3713852342
150	0.3712182575
151	0.3710431012
152	0.3709232519
153	0.3707444085
154	0.3706288756
155	0.3705121455
156	0.3704090884
157	0.3701925384
158	0.3700277884
159	0.3697450703
160	0.3696352892
161	0.3694177361
162	0.3692560517
163	0.3691448315
164	0.3689672254
165	0.3688578143
166	0.3682285758
167	0.3679065263
168	0.3677412663
169	0.367392793
170	0.3671969651
171	0.3670922044
172	0.3669821774
173	0.366883382
174	0.3665685672
175	0.3664002061
176	0.3662558851
177	0.366161405
178	0.3659664915
179	0.3658037608
180	0.3657075822
181	0.3655705605
182	0.3654260459
183	0.3652660156
184	0.3650847274
185	0.36492458
186	0.3648234929
187	0.3644976845
188	0.3644094089
189	0.3643124948
190	0.3641657746
191	0.3638155156
192	0.3635643212
193	0.3634209173
194	0.3631102411
195	0.3629984637
196	0.3628970786
197	0.3628117736
198	0.3625230191
199	0.362218771
200	0.3618768475
201	0.3617751677
202	0.3615213587
203	0.3612683023
204	0.361073536
205	0.3609353112
206	0.3605878483
207	0.3603180841
208	0.36022979
209	0.3600895434
210	0.3598471817
211	0.3597160442
212	0.3596252479
213	0.3595411721
214	0.3594439781
215	0.35936787
216	0.3584472728
217	0.3583572793
218	0.3581194469
219	0.3579831584
220	0.3578921304
221	0.3577392423
222	0.3575969294
223	0.3575058129
224	0.3572721928
225	0.3570403379
226	0.3568515161
227	0.3563784828
228	0.3562807267
229	0.3561992102
230	0.3561078977
231	0.3560169063
232	0.355627728
233	0.3555072314
234	0.3553770125
235	0.3551266059
236	0.3549868202
237	0.3548079987
238	0.3546208733
239	0.354485457
240	0.3543437355
241	0.3540210795
242	0.3538537754
243	0.3537661
244	0.3536739803
245	0.3534347732
246	0.3533604957
247	0.3531707193
248	0.3530951802
249	0.3528119122
250	0.3527298936
251	0.3526477493
252	0.3523268556
253	0.3522115936
254	0.3521412234
255	0.3520677239
256	0.3519304788
257	0.3518122841
258	0.3509415999
259	0.35086324
260	0.3506139942
261	0.3504884951
262	0.3502602821
263	0.3501799926
264	0.3500521319
265	0.3499282454
266	0.3498391438
267	0.3497681721
268	0.3496893472
269	0.3494411242
270	0.3492091414
271	0.3490814149
272	0.3488853404
273	0.3487693414
274	0.3484839379
275	0.3484032136
276	0.3483342131
277	0.348256177
278	0.3481885919
279	0.3480633733
280	0.3479948903
281	0.3476875374
282	0.3476186624
283	0.3474957135
284	0.3467952677
285	0.3467238459
286	0.3457489291
287	0.3456740311
288	0.3455676822
289	0.345379844
290	0.3452776349
291	0.3450694873
292	0.3449189741
293	0.3447484125
294	0.3444678529
295	0.3443969164
296	0.3441581169
297	0.343915301
298	0.3438072752
299	0.3437299671
300	0.3434895589
301	0.3432080251
302	0.343136221
303	0.3428591421
304	0.3427451639
305	0.3425899789
306	0.3423664304
307	0.3422923684
308	0.3421803585
309	0.3420629948
310	0.3415789137
311	0.3415074491
312	0.3414292406
313	0.3411474485
314	0.3409769357
315	0.3407147186
316	0.3406429231
317	0.3405824908
318	0.3404111043
319	0.340314396
320	0.3402453704
321	0.3401778205
322	0.3400727419
323	0.3398232958
324	0.339718408
325	0.3395687655
326	0.3394515008
327	0.3393926505
328	0.3392283809
329	0.3391296924
330	0.339064392
331	0.3389995107
332	0.3389290836
333	0.3387629828
334	0.3387008607
335	0.3384697896
336	0.3383627791
337	0.3382377476
338	0.3381701768
339	0.3379212859
340	0.3376868075
341	0.3374295004
342	0.3372112928
343	0.3368940686
344	0.3368440875
345	0.3367745939
346	0.3367067733
347	0.3360774411
348	0.3359664976
349	0.3358570992
350	0.3357025416
351	0.3355024143
352	0.335438368
353	0.3353750659
354	0.3352636319
355	0.3351644703
356	0.3350204045
357	0.3347867833
358	0.3345432468
359	0.3343208292
360	0.3342149441
361	0.334148321
362	0.3337849236
363	0.3337205458
364	0.3336125321
365	0.3334696545
366	0.3332393492
367	0.3327173563
368	0.3325701305
369	0.3325033986
370	0.3323715133
371	0.3322809139
372	0.3319731362
373	0.3319108381
374	0.3317389419
375	0.3315904751
376	0.3314879037
377	0.3314211142
378	0.3309612994
379	0.3308612902
380	0.3308027146
381	0.3307474528
382	0.3306824198
383	0.3303804631
384	0.3303225385
385	0.33025408
386	0.3300565273
387	0.3299884154
388	0.3299311529
389	0.3298325389
390	0.3296148479
391	0.3295208535
392	0.3293201051
393	0.3290847517
394	0.3290174782
395	0.3287487752
396	0.3286180458
397	0.3285181266
398	0.3284115708
399	0.3283561366
400	0.3282904802
401	0.3282307148
402	0.3280618882
403	0.3279539696
404	0.3278894213
405	0.327290526
406	0.3271392089
407	0.3269843983
408	0.3269281009
409	0.326806334
410	0.3265190852
411	0.3264555813
412	0.3263474925
413	0.3259157967
414	0.3256891882
415	0.3255353268
416	0.32547714
417	0.3252692891
418	0.3252075047
419	0.3251448042
420	0.325082259
421	0.3250358902
422	0.3249420237
423	0.3248491058
424	0.3247521123
425	0.324691885
426	0.3244820268
427	0.3241757443
428	0.3240812616
429	0.3234516161
430	0.3233315197
431	0.3232384203
432	0.323002443
433	0.3229361421
434	0.3228796713
435	0.3228206143
436	0.3227631249
437	0.3225983267
438	0.3223889938
439	0.3222845503
440	0.3217053384
441	0.3216426895
442	0.3215798339
443	0.3215183914
444	0.3210889015
445	0.320903527
446	0.3208045223
447	0.3207181078
448	0.3205416348
449	0.3204487746
450	0.3203534504
451	0.3200880355
452	0.3200231854
453	0.3197757974
454	0.3194900107
455	0.3192030798
456	0.3191447385
457	0.3190868188
458	0.3190387924
459	0.3189477048
460	0.3188617244
461	0.317375664
462	0.3173157623
463	0.3172577499
464	0.3170980937
465	0.3170517868
466	0.3165555682
467	0.3165097218
468	0.3164547434
469	0.3164039798
470	0.3162219458
471	0.3161226441
472	0.3159011785
473	0.3156232445
474	0.3155687581
475	0.3154021667
476	0.3153217078
477	0.3152243921
478	0.3150647366
479	0.3150115619
480	0.3149156465
481	0.3147057319
482	0.3144997516
483	0.3144489413
484	0.3141425588
485	0.3140910307
486	0.3138714616
487	0.3138086622
488	0.3137517075
489	0.3135025081
490	0.313448298
491	0.3133275133
492	0.3131562238
493	0.3130026843
494	0.3129507927
495	0.312843338
496	0.3125948541
497	0.3125309918
498	0.3122591483
499	0.3122018718
500	0.3120614403
501	0.3119383712
502	0.311855198
503	0.3117638441
504	0.311592822
505	0.3112301366
506	0.3111382682
507	0.3110917136
508	0.3110128574
509	0.3109640108
510	0.3109113557
511	0.3107092276
512	0.3099913358
513	0.3097991458
514	0.3096048562
515	0.3095261196
516	0.3093193252
517	0.309229332
518	0.3091229883
519	0.3089685159
520	0.3084209725
521	0.3083714005
522	0.3083147143
523	0.3082295123
524	0.3080273825
525	0.3079776195
526	0.3078333649
527	0.3077111352
528	0.3076235677
529	0.3073827382
530	0.307176377
531	0.307091761
532	0.3070101183
533	0.3068796871
534	0.3068299427
535	0.3067547386
536	0.3066795453
537	0.3065560221
538	0.3065072538
539	0.3063250787
540	0.3062147215
541	0.306104713
542	0.3060520263
543	0.3059662738
544	0.305780317
545	0.3056927131
546	0.3055913778
547	0.3055427883
548	0.3053545372
549	0.3053037394
550	0.305256914
551	0.3052081389
552	0.3051557579
553	0.3049785934
554	0.3042566767
555	0.3042104205
556	0.3041606453
557	0.3040239014
558	0.3038560068
559	0.3037121589
560	0.3035974825
561	0.3035491602
562	0.3034046338
563	0.3033200927
564	0.3031873027
565	0.3030465558
566	0.3027405953
567	0.302685021
568	0.3024994669
569	0.3024516691
570	0.3024032971
571	0.302297543
572	0.3021060203
573	0.3020546622
574	0.301881646
575	0.3018369166
576	0.3017068495
577	0.3016467886
578	0.3011036436
579	0.3010462086
580	0.3008677031
581	0.3006803148
582	0.3005646035
583	0.3004387805
584	0.3003947667
585	0.3003139322
586	0.2998227275
587	0.2997226525
588	0.2996450571
589	0.2995968346
590	0.2995493892
591	0.2994715645
592	0.2992974855
593	0.2991104394
594	0.2984144732
595	0.2983647877
596	0.2982999835
597	0.2981580483
598	0.2981092745
599	0.2980588993
600	0.2980093789
601	0.2979024849
602	0.2977748223
603	0.2975991878
604	0.2975223522
605	0.2974799359
606	0.2973714004
607	0.2971485558
608	0.2970747961
609	0.2962388768
610	0.2960246473
611	0.295939737
612	0.2958366268
613	0.2956536529
614	0.2955858588
615	0.2955326185
616	0.2954781214
617	0.2952579229
618	0.2951701338
619	0.2950773715
620	0.2950305219
621	0.2948662515
622	0.2948190751
623	0.2946499998
624	0.2946084795
625	0.294491534
626	0.2944196815
627	0.294308552
628	0.2941636811
629	0.2940649119
630	0.2940183385
631	0.2939160157
632	0.2936793373
633	0.2934778609
634	0.2933820598
635	0.2933258209
636	0.2931881866
637	0.2930710287
638	0.2930050831
639	0.2924737666
640	0.2924282655
641	0.2923786816
642	0.2923307893
643	0.2922595888
644	0.2921120048
645	0.2920674843
646	0.2920263373
647	0.2919366982
648	0.2918630961
649	0.2917709895
650	0.2916768956
651	0.2914619811
652	0.2914233689
653	0.2913766666
654	0.2913286572
655	0.2911366625
656	0.2909727567
657	0.2908033417
658	0.2907643744
659	0.2903046032
660	0.2902658054
661	0.2901523446
662	0.2900196315
663	0.289936505
664	0.289841917
665	0.2897982392
666	0.2897535476
667	0.2895547895
668	0.2895058404
669	0.2893900408
670	0.2893189089
671	0.2892718735
672	0.2891903599
673	0.2890328175
674	0.288919324
675	0.288791383
676	0.2887469259
677	0.2885600752
678	0.2883630499
679	0.288268577
680	0.2881584584
681	0.2881165211
682	0.2879898624
683	0.2879158164
684	0.2873600677
685	0.2873164255
686	0.287245267
687	0.2872043209
688	0.2871341416
689	0.2867396787
690	0.2865117619
691	0.2864330444
692	0.2863607165
693	0.2861781013
694	0.2861338337
695	0.2860666909
696	0.2859233114
697	0.2858145572
698	0.285615567
699	0.2854401595
700	0.285399528
701	0.2852900498
702	0.2852273065
703	0.2851550318
704	0.2850621962
705	0.285004628
706	0.2849614508
707	0.2848448198
708	0.284810883
709	0.2846405833
710	0.2846017855
711	0.2843987932
712	0.2842374636
713	0.2841501726
714	0.2841101402
