iter	Passed	Remaining
0	16	16741
1	31	15481
2	44	14782
3	58	14602
4	72	14450
5	86	14381
6	99	14183
7	114	14214
8	129	14293
9	143	14219
10	161	14530
11	179	14804
12	196	14887
13	209	14772
14	226	14875
15	245	15098
16	268	15528
17	290	15850
18	307	15851
19	325	15934
20	340	15862
21	357	15902
22	371	15795
23	389	15854
24	404	15787
25	424	15890
26	437	15771
27	453	15726
28	467	15653
29	482	15598
30	496	15528
31	515	15585
32	532	15595
33	545	15505
34	559	15423
35	574	15372
36	593	15437
37	607	15367
38	622	15339
39	636	15270
40	650	15217
41	664	15161
42	678	15092
43	693	15062
44	706	14999
45	723	14996
46	737	14961
47	752	14917
48	765	14863
49	779	14803
50	792	14741
51	809	14756
52	825	14744
53	838	14688
54	852	14642
55	866	14607
56	880	14560
57	893	14509
58	907	14473
59	922	14446
60	936	14413
61	951	14393
62	965	14356
63	978	14307
64	992	14275
65	1005	14231
66	1019	14196
67	1034	14182
68	1048	14141
69	1061	14100
70	1075	14067
71	1088	14029
72	1101	13991
73	1115	13957
74	1131	13952
75	1144	13917
76	1157	13876
77	1171	13844
78	1185	13816
79	1199	13797
80	1214	13774
81	1228	13754
82	1244	13746
83	1258	13722
84	1271	13687
85	1285	13657
86	1299	13633
87	1312	13601
88	1326	13573
89	1341	13563
90	1354	13531
91	1367	13497
92	1382	13485
93	1396	13460
94	1409	13428
95	1424	13414
96	1440	13408
97	1454	13390
98	1469	13370
99	1484	13360
100	1498	13337
101	1511	13309
102	1526	13298
103	1541	13280
104	1555	13260
105	1569	13238
106	1583	13212
107	1599	13212
108	1613	13185
109	1625	13155
110	1641	13147
111	1655	13127
112	1669	13102
113	1682	13075
114	1696	13054
115	1710	13033
116	1724	13013
117	1739	12998
118	1754	12987
119	1767	12964
120	1781	12940
121	1796	12929
122	1810	12908
123	1823	12881
124	1838	12872
125	1852	12851
126	1865	12825
127	1880	12808
128	1894	12790
129	1908	12771
130	1922	12755
131	1936	12733
132	1950	12717
133	1964	12697
134	1978	12677
135	1994	12670
136	2008	12650
137	2022	12630
138	2036	12613
139	2051	12599
140	2064	12579
141	2079	12562
142	2093	12544
143	2108	12532
144	2121	12511
145	2136	12494
146	2152	12488
147	2165	12465
148	2179	12446
149	2192	12425
150	2206	12407
151	2220	12388
152	2234	12368
153	2249	12356
154	2264	12342
155	2278	12327
156	2291	12305
157	2306	12289
158	2319	12271
159	2335	12260
160	2349	12244
161	2364	12231
162	2378	12213
163	2394	12204
164	2408	12186
165	2421	12163
166	2434	12145
167	2450	12137
168	2464	12120
169	2479	12105
170	2493	12086
171	2506	12066
172	2520	12046
173	2535	12034
174	2549	12016
175	2563	12001
176	2576	11981
177	2591	11965
178	2606	11953
179	2620	11938
180	2633	11917
181	2648	11901
182	2662	11887
183	2676	11871
184	2691	11855
185	2704	11836
186	2718	11819
187	2732	11802
188	2746	11786
189	2762	11775
190	2775	11756
191	2792	11750
192	2806	11736
193	2821	11722
194	2835	11704
195	2848	11685
196	2863	11671
197	2877	11656
198	2891	11637
199	2905	11623
200	2919	11605
201	2933	11588
202	2947	11573
203	2962	11558
204	2977	11544
205	2990	11527
206	3004	11510
207	3019	11495
208	3032	11478
209	3046	11460
210	3062	11450
211	3076	11436
212	3090	11418
213	3104	11403
214	3118	11386
215	3133	11373
216	3147	11358
217	3161	11342
218	3177	11332
219	3192	11317
220	3206	11301
221	3220	11286
222	3234	11270
223	3248	11252
224	3262	11236
225	3277	11223
226	3291	11209
227	3307	11198
228	3321	11184
229	3336	11171
230	3351	11155
231	3365	11139
232	3380	11127
233	3393	11108
234	3407	11091
235	3422	11079
236	3436	11064
237	3451	11050
238	3466	11038
239	3481	11023
240	3495	11007
241	3508	10990
242	3523	10975
243	3536	10955
244	3549	10938
245	3566	10930
246	3582	10921
247	3596	10905
248	3610	10889
249	3625	10876
250	3639	10859
251	3652	10842
252	3667	10827
253	3681	10811
254	3695	10795
255	3710	10782
256	3724	10767
257	3739	10754
258	3753	10738
259	3767	10723
260	3782	10711
